等級,英文單字,中文解釋,檔案名稱,狀態
9,husband,丈夫,0407_husband.png,成功
9,wife,妻子,0408_wife.png,成功
9,housewife,家庭主婦,0409_housewife.png,成功
9,Miss,小姐(未婚),0410_Miss.png,成功
9,thirteen,十三;十三(的),0411_thirteen.png,成功
9,fourteen,十四;十四(的),0412_fourteen.png,成功
9,fifteen,十五;十五(的),0413_fifteen.png,成功
9,sixteen,十六;十六(的),0414_sixteen.png,成功
9,seventeen,十七;十七(的),0415_seventeen.png,成功
9,eighteen,十八;十八(的),0416_eighteen.png,成功
9,nineteen,十九;十九(的),0417_nineteen.png,成功
9,twenty,二十;二十(的),0418_twenty.png,成功
9,thirty,三十;三十(的),0419_thirty.png,成功
9,forty,四十;四十(的),0420_forty.png,成功
9,fifty,五十;五十(的),0421_fifty.png,成功
9,sixty,六十;六十(的),0422_sixty.png,成功
9,seventy,七十;七十(的),0423_seventy.png,成功
9,eighty,八十;八十(的),0424_eighty.png,成功
9,ninety,九十;九十(的),0425_ninety.png,成功
9,thousand,千;千(的),0426_thousand.png,成功
9,number,號碼、數字,0427_number.png,成功
9,workbook,作業本,0428_workbook.png,成功
9,brush,刷(牙);刷子,0429_brush.png,成功
9,cellphone,手機,0430_cellphone.png,成功
9,scooter,(兒童遊戲用的)踏板車；摩托車,0431_scooter.png,成功
9,party,派對,0432_party.png,成功
9,gift,禮物,0433_gift.png,成功
9,noon,中午,0434_noon.png,成功
9,break,打破；折斷,0435_break.png,成功
9,pretty,漂亮的,0436_pretty.png,成功
9,able,能;有能力的,0437_able.png,成功
9,young,年輕的,0438_young.png,成功
9,full,完全;完全(的),N/A,失敗: API Error: {"error":{"code":500,"message":"Internal error encountered.","status":"INTERNAL"}}
9,lucky,幸運的,0440_lucky.png,成功
9,so,如此的,0441_so.png,成功
9,really,真地,0442_really.png,成功
9,during,在…期間,0443_during.png,成功
9,near,在…附近,0444_near.png,成功
9,guess,猜想,0445_guess.png,成功
9,dining room,飯廳,0446_dining_room.png,成功
9,balcony,陽臺,0447_balcony.png,成功
9,koala,無尾熊,0448_koala.png,成功
9,hippo,河馬,0449_hippo.png,成功
9,zebra,斑馬,0450_zebra.png,成功
9,kangaroo,袋鼠,0451_kangaroo.png,成功
9,person,人,0452_person.png,成功
9,people,人們,0453_people.png,成功
9,man,男人(單數),0454_man.png,成功
9,woman,女人(單數),0455_woman.png,成功
9,center,中心(點),0456_center.png,成功
9,future,未來,0457_future.png,成功
9,age,年齡,0458_age.png,成功
9,minute,分鐘,0459_minute.png,成功
9,Christmas,聖誕節,0460_Christmas.png,成功
9,bell,鈴；鐘,0461_bell.png,成功
9,turkey,火雞,0462_turkey.png,成功
9,thing,事物；東西,0463_thing.png,成功
9,glasses,眼鏡,0464_glasses.png,成功
9,belt,皮帶,0465_belt.png,成功
9,think,想,0466_think.png,成功
9,quiet,安靜的,0467_quiet.png,成功
9,interesting,有趣的,0468_interesting.png,成功
9,favorite,最喜愛的,0469_favorite.png,成功
9,any,任何;任何(的),0470_any.png,成功
9,wait,等待,0471_wait.png,成功
9,worry,擔心；煩惱,0472_worry.png,成功
9,get,拿到；取得,0473_get.png,成功
9,share,分享,0474_share.png,成功
9,kick,踢,0475_kick.png,成功
9,remember,記得,0476_remember.png,成功
9,fight,打架;打架,0477_fight.png,成功
9,shout,喊叫,0478_shout.png,成功
9,behind,在…後面,0479_behind.png,成功
9,front,前面,0480_front.png,成功
9,between,在…之間,0481_between.png,成功
